num_hours_pred,add_missing,identifier,num_hidden,num_layers,l2_penalty,pos_cls_ratio,n_mc_smps,,,,test_loss,test_reg_loss,test_acc,test_true_positive,test_auroc,test_aupr,best_model_idx,num_epochs_run
6,True,0512-rnn_baseline-mimic-nh16-nl1-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,1,0.0001,1,20,,,,0.0044627911,8.34778981701821E-05,0.6477115118,0.1238615665,0.6324532337,0.5380734537,0,4
6,True,0512-rnn_baseline-mimic-nh128-nl2-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,128,2,1E-05,1,20,,,,0.0039929353,0.0002059745,0.6574202497,0.3961748634,0.6417251564,0.5584555303,6,10
6,True,0512-rnn_baseline-mimic-nh32-nl2-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,32,2,0.001,1,20,,,,0.0045263413,3.73034840695116E-05,0.6192787795,0,0.6158889623,0.5226698528,5,9
6,True,0512-rnn_baseline-mimic-nh16-nl3-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,3,1E-05,1,20,,,,0.0041128781,5.26440657943942E-05,0.6192787795,0,0.5749471706,0.453385907,0,4
6,True,0512-rnn_baseline-mimic-nh16-nl3-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,16,3,0.001,1,20,,,,0.0046823948,4.52838228413533E-05,0.6192787795,0,0.6002502259,0.5011131701,6,10
6,True,0512-rnn_baseline-mimic-nh64-nl2-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,64,2,1E-05,1,20,,,,0.0043856228,0.0001009533,0.6671289875,0.2367941712,0.6359840349,0.5523456417,9,13
6,True,0512-rnn_baseline-mimic-nh64-nl1-c1e-05-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,64,1,1E-05,1,20,,,,0.0048835382,7.57514369956911E-05,0.660887656,0.160291439,0.6322370206,0.5503017971,3,7
6,True,0512-rnn_baseline-mimic-nh32-nl1-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,32,1,0.001,1,20,,,,0.0047108458,0.0001279335,0.6227461859,0.0109289617,0.6336520947,0.5362449489,2,6
6,True,0512-rnn_baseline-mimic-nh128-nl1-c1e-04-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,128,1,0.0001,1,20,,,,0.0047175334,0.0006472662,0.6605409154,0.1639344262,0.6318619622,0.5498461131,0,4
6,True,0512-rnn_baseline-mimic-nh64-nl1-c1e-03-npred6-miss1-n_mc_20-MIMIC_window-mingie_34features-ManyToOneRNN,64,1,0.001,1,20,,,,0.0043024481,0.0002923586,0.6560332871,0.2158469945,0.6242667111,0.5345419217,2,6
