../models/0121_with_larger_training_-StateToProbGainPerTimeEstimator-0121-hl1-hu64-lr0.001-reg0.0001-kp0.7-n1/
Normalize the input for the first 128 dim with total 167 dim
# Training model ----------------
# Train epoch 0 ----------------
Batch 0: loss 0.729, reg: 4.75e-07
Batch 100: loss 0.424, reg: 4.76e-07
Batch 200: loss 0.335, reg: 4.75e-07
Batch 300: loss 0.28, reg: 4.75e-07
Batch 400: loss 0.238, reg: 4.74e-07
Batch 500: loss 0.204, reg: 4.74e-07
Batch 600: loss 0.178, reg: 4.74e-07
Batch 700: loss 0.156, reg: 4.74e-07
Batch 800: loss 0.139, reg: 4.73e-07
Batch 900: loss 0.125, reg: 4.73e-07
Batch 1000: loss 0.114, reg: 4.73e-07
Batch 1100: loss 0.104, reg: 4.73e-07
Batch 1200: loss 0.0954, reg: 4.73e-07
Batch 1300: loss 0.0882, reg: 4.73e-07
Batch 1400: loss 0.082, reg: 4.73e-07
Batch 1500: loss 0.0766, reg: 4.73e-07
Batch 1600: loss 0.0719, reg: 4.72e-07
Batch 1700: loss 0.0677, reg: 4.72e-07
Batch 1800: loss 0.0639, reg: 4.72e-07
Batch 1900: loss 0.0606, reg: 4.72e-07
Batch 2000: loss 0.0576, reg: 4.72e-07
Batch 2100: loss 0.0549, reg: 4.72e-07
Batch 2200: loss 0.0524, reg: 4.72e-07
Batch 2300: loss 0.0501, reg: 4.72e-07
Batch 2400: loss 0.048, reg: 4.72e-07
Batch 2500: loss 0.0461, reg: 4.72e-07
Batch 2600: loss 0.0444, reg: 4.72e-07
Batch 2700: loss 0.0427, reg: 4.72e-07
Batch 2800: loss 0.0412, reg: 4.72e-07
Batch 2900: loss 0.0398, reg: 4.72e-07
Batch 3000: loss 0.0385, reg: 4.72e-07
Batch 3100: loss 0.0373, reg: 4.72e-07
Batch 3200: loss 0.0361, reg: 4.72e-07
Batch 3300: loss 0.035, reg: 4.72e-07
Batch 3400: loss 0.034, reg: 4.72e-07
Batch 3500: loss 0.033, reg: 4.72e-07
Batch 3600: loss 0.0321, reg: 4.72e-07
Batch 3700: loss 0.0313, reg: 4.72e-07
Batch 3800: loss 0.0304, reg: 4.72e-07
Batch 3900: loss 0.0297, reg: 4.72e-07
